,date,day,personnel,personnel*,POW
166,2022-08-10,168,42800,about,
167,2022-08-11,169,43000,about,
168,2022-08-12,170,43200,about,
169,2022-08-13,171,43400,about,
170,2022-08-14,172,43550,about,
171,2022-08-15,173,43750,about,
172,2022-08-16,174,43900,about,
173,2022-08-17,175,44100,about,
174,2022-08-18,176,44300,about,
175,2022-08-19,177,44700,about,
176,2022-08-20,178,44900,about,
177,2022-08-21,179,45200,about,
178,2022-08-22,180,45400,about,
179,2022-08-23,181,45550,about,
180,2022-08-24,182,45700,about,
181,2022-08-25,183,45850,about,
182,2022-08-26,184,46250,about,
183,2022-08-27,185,46500,about,
184,2022-08-28,186,46750,about,
185,2022-08-29,187,47100,about,
186,2022-08-30,188,47550,about,
187,2022-08-31,189,47900,about,
188,2022-09-01,190,48350,about,
189,2022-09-02,191,48700,about,
190,2022-09-03,192,49050,about,
191,2022-09-04,193,49500,about,
192,2022-09-05,194,49800,about,
193,2022-09-06,195,50150,about,
194,2022-09-07,196,50610,about,
195,2022-09-08,197,51250,about,
196,2022-09-09,198,51900,about,
197,2022-09-10,199,52250,about,
198,2022-09-11,200,52650,about,
199,2022-09-12,201,52950,about,
200,2022-09-13,202,53300,about,
201,2022-09-14,203,53650,about,
202,2022-09-15,204,53850,about,
203,2022-09-16,205,54050,about,
204,2022-09-17,206,54250,about,
205,2022-09-18,207,54480,about,
206,2022-09-19,208,54650,about,
207,2022-09-20,209,54810,about,
208,2022-09-21,210,55110,about,
209,2022-09-22,211,55510,about,
210,2022-09-23,212,56060,about,
211,2022-09-24,213,56300,about,
212,2022-09-25,214,56700,about,
213,2022-09-26,215,57200,about,
214,2022-09-27,216,57750,about,
215,2022-09-28,217,58150,about,
216,2022-09-29,218,58580,about,
217,2022-09-30,219,59080,about,
218,2022-10-01,220,59610,about,
219,2022-10-02,221,60110,about,
220,2022-10-03,222,60430,about,
221,2022-10-04,223,60800,about,
222,2022-10-05,224,61000,about,
223,2022-10-06,225,61330,about,
224,2022-10-07,226,61680,about,
225,2022-10-08,227,62060,about,
226,2022-10-09,228,62500,about,
227,2022-10-10,229,62870,about,
228,2022-10-11,230,63110,about,
229,2022-10-12,231,63380,about,
230,2022-10-13,232,63800,about,
231,2022-10-14,233,64300,about,
232,2022-10-15,234,64700,about,
233,2022-10-16,235,65000,about,
234,2022-10-17,236,65320,about,
235,2022-10-18,237,65850,about,
236,2022-10-19,238,66280,about,
237,2022-10-20,239,66650,about,
238,2022-10-21,240,66750,about,
239,2022-10-22,241,67070,about,
240,2022-10-23,242,67470,about,
241,2022-10-24,243,67940,about,
242,2022-10-25,244,68420,about,
243,2022-10-26,245,68900,about,
244,2022-10-27,246,69220,about,
245,2022-10-28,247,69700,about,
246,2022-10-29,248,70250,about,
247,2022-10-30,249,71200,about,
248,2022-10-31,250,71820,about,
249,2022-11-01,251,72470,about,
250,2022-11-02,252,73270,about,
251,2022-11-03,253,74000,about,
252,2022-11-04,254,74840,about,
253,2022-11-05,255,75440,about,
254,2022-11-06,256,75930,about,
255,2022-11-07,257,76460,about,
256,2022-11-08,258,77170,about,
257,2022-11-09,259,77950,about,
258,2022-11-10,260,78690,about,
259,2022-11-11,261,79400,about,
260,2022-11-12,262,80210,about,
